wavelength,real_1,real_2,real_3,real_4,real_5,real_6,real_7,real_8,real_9,real_10
337.1,1.21,1.05,0.53,0.67,0.09,0.72,1.04,0.22,0.33,0.34
337.469,1.15,1.04,0.53,0.64,0.09,0.7,1.02,0.2,0.3,0.32
337.838,1.11,1.04,0.55,0.67,0.1,0.75,1.01,0.12,0.31,0.32
338.208,1.15,1.07,0.57,0.67,0.03,0.72,1.09,0.16,0.35,0.37
338.577,1.12,1.06,0.51,0.68,0.04,0.68,1.07,0.12,0.31,0.41
338.946,1.2,1.06,0.5,0.75,0.1,0.73,1.12,0.1,0.35,0.47
339.315,1.29,1.15,0.57,0.78,0.28,0.78,1.29,0.11,0.44,0.59
339.684,1.29,1.1,0.59,0.72,0.27,0.84,1.28,0.11,0.5,0.65
340.053,1.35,1.09,0.64,0.74,0.24,0.86,1.29,0.12,0.56,0.67
340.422,1.34,1.03,0.57,0.63,0.18,0.93,1.32,0.11,0.53,0.65
340.79,1.33,1,0.55,0.64,0.09,0.88,1.29,0.1,0.51,0.64
341.159,1.31,0.94,0.49,0.58,0.07,0.83,1.3,0.05,0.55,0.62
341.528,1.31,0.9,0.47,0.55,0.05,0.85,1.2,0,0.49,0.59
341.897,1.36,0.91,0.51,0.58,0.02,0.86,1.23,0.03,0.51,0.61
342.266,1.34,0.89,0.45,0.54,0.02,0.83,1.21,-0.05,0.5,0.58
342.634,1.38,0.94,0.48,0.62,0.08,0.89,1.28,0,0.52,0.64
343.003,1.4,1.03,0.51,0.67,0.13,0.91,1.29,-0.03,0.56,0.71
343.371,1.27,0.95,0.41,0.65,-0.02,0.83,1.17,-0.14,0.45,0.55
343.74,1.27,0.94,0.35,0.59,-0.06,0.73,1.08,-0.18,0.38,0.44
344.108,1.21,0.87,0.27,0.52,-0.11,0.6,1.02,-0.23,0.22,0.31
344.477,1.16,0.84,0.28,0.51,-0.11,0.47,0.89,-0.33,0.15,0.19
344.845,1.19,0.9,0.32,0.56,-0.04,0.52,0.87,-0.35,0.23,0.28
345.214,1.18,0.97,0.34,0.58,-0.08,0.57,0.87,-0.31,0.17,0.32
345.582,1.23,0.97,0.31,0.63,0.01,0.67,0.89,-0.27,0.22,0.41
345.95,1.23,0.94,0.23,0.57,-0.01,0.6,0.92,-0.24,0.24,0.39
346.319,1.16,0.89,0.23,0.5,-0.01,0.57,0.9,-0.26,0.2,0.37
346.687,1.13,0.86,0.25,0.39,-0.14,0.52,0.82,-0.25,0.2,0.34
347.055,1.13,0.81,0.31,0.38,-0.11,0.64,0.85,-0.21,0.22,0.41
347.423,1.17,0.81,0.32,0.34,-0.08,0.71,0.85,-0.15,0.25,0.47
347.791,1.16,0.83,0.32,0.3,-0.04,0.69,0.86,-0.16,0.26,0.45
348.159,1.19,0.91,0.34,0.29,0.05,0.77,0.95,-0.1,0.31,0.53
348.527,1.25,1.01,0.37,0.3,0.12,0.89,1.06,-0.08,0.39,0.64
348.895,1.22,1.01,0.35,0.25,0.08,0.9,1.06,-0.11,0.3,0.59
349.263,1.27,1.03,0.4,0.35,0.19,1.01,1.09,-0.04,0.39,0.67
349.631,1.23,1.01,0.43,0.35,0.11,0.93,1.11,-0.05,0.32,0.64
349.999,1.18,1.03,0.53,0.39,0.1,0.92,1.08,-0.02,0.3,0.72
350.367,1.24,1.08,0.59,0.49,0.16,0.94,1.14,0,0.3,0.74
350.734,1.18,1.02,0.55,0.51,0.15,0.91,1.04,-0.03,0.22,0.7
351.102,1.14,1.03,0.49,0.48,0.12,0.79,1.03,-0.05,0.13,0.62
351.47,1.13,1.05,0.53,0.5,0.13,0.81,1.07,-0.07,0.18,0.69
351.837,1.15,1.07,0.57,0.59,0.16,0.93,1.13,-0.04,0.18,0.77
352.205,1.15,1.07,0.57,0.66,0.17,0.96,1.1,-0.04,0.18,0.78
352.573,1.09,0.98,0.57,0.6,0.06,0.9,0.97,-0.09,0.12,0.72
352.94,1.13,0.97,0.62,0.72,0.13,0.92,1.02,-0.04,0.18,0.75
353.308,1.14,0.98,0.59,0.66,0.05,0.91,1.05,-0.12,0.17,0.72
353.675,1.19,1.04,0.65,0.64,0.11,0.94,1.15,-0.1,0.22,0.75
354.042,1.21,1.1,0.69,0.64,0.18,1.06,1.23,-0.03,0.28,0.77
354.41,1.15,1.09,0.65,0.67,0.11,1.05,1.22,-0.02,0.26,0.83
354.777,1.19,1.1,0.66,0.66,0.16,1.08,1.32,-0.01,0.31,0.92
355.144,1.15,1.06,0.66,0.61,0.14,1.03,1.29,-0.02,0.32,0.91
355.511,1.15,1.08,0.67,0.61,0.14,0.99,1.26,0.07,0.3,0.87
