wavelength,fac_1,fac_2,fac_3,fac_4,fac_5,fac_6,fac_7,fac_8,fac_9,fac_10
400.363,6.66,6.85,6.32,7.23,5.78,7.03,3.92,8.53,6.79,5.29
400.725,6.63,6.85,6.33,7.24,5.76,7.01,3.92,8.52,6.76,5.32
401.087,6.63,6.89,6.34,7.23,5.75,7.01,3.92,8.53,6.75,5.33
401.449,6.58,6.94,6.4,7.27,5.81,7,3.86,8.49,6.74,5.28
401.81,6.56,6.98,6.4,7.24,5.75,7.01,3.88,8.5,6.71,5.28
402.172,6.59,7.02,6.43,7.22,5.75,7.08,3.87,8.55,6.71,5.29
402.534,6.56,7.04,6.42,7.18,5.8,7.06,3.88,8.55,6.72,5.3
402.896,6.52,7,6.37,7.12,5.77,7.02,3.9,8.5,6.65,5.29
403.258,6.47,6.95,6.35,7.07,5.76,6.96,3.89,8.51,6.65,5.28
403.619,6.4,6.94,6.33,7.06,5.75,6.92,3.89,8.55,6.59,5.3
403.981,6.39,6.97,6.36,7.05,5.77,6.93,3.88,8.54,6.56,5.29
404.343,6.4,7.01,6.35,7.02,5.77,6.94,3.89,8.54,6.56,5.3
404.704,6.42,6.97,6.35,7,5.76,6.94,3.93,8.53,6.59,5.26
405.066,6.36,6.91,6.25,6.94,5.7,6.92,3.84,8.52,6.52,5.21
405.427,6.4,6.85,6.23,6.91,5.7,6.92,3.85,8.53,6.5,5.22
405.789,6.42,6.84,6.25,6.93,5.7,6.94,3.89,8.58,6.54,5.25
406.15,6.38,6.79,6.19,6.92,5.66,6.9,3.88,8.56,6.55,5.21
406.512,6.38,6.78,6.18,6.91,5.64,6.89,3.87,8.55,6.56,5.18
406.873,6.35,6.78,6.17,6.91,5.62,6.86,3.85,8.53,6.59,5.18
407.234,6.37,6.77,6.2,6.92,5.64,6.93,3.85,8.56,6.59,5.21
407.596,6.42,6.76,6.23,6.91,5.65,6.92,3.87,8.51,6.59,5.18
407.957,6.37,6.7,6.19,6.9,5.61,6.89,3.85,8.52,6.57,5.13
408.318,6.33,6.64,6.17,6.89,5.59,6.86,3.83,8.52,6.54,5.12
408.679,6.3,6.6,6.12,6.87,5.61,6.84,3.77,8.52,6.52,5.14
409.04,6.34,6.62,6.19,6.95,5.66,6.88,3.85,8.51,6.59,5.16
409.401,6.35,6.67,6.21,6.98,5.64,6.86,3.88,8.52,6.63,5.18
409.762,6.36,6.66,6.2,6.94,5.63,6.84,3.87,8.5,6.6,5.18
410.123,6.39,6.68,6.2,6.92,5.66,6.85,3.87,8.46,6.59,5.21
410.484,6.4,6.71,6.27,6.94,5.67,6.89,3.9,8.49,6.62,5.24
410.845,6.39,6.72,6.3,6.99,5.69,6.93,3.94,8.52,6.63,5.23
411.206,6.42,6.78,6.31,7.04,5.66,6.94,3.93,8.51,6.66,5.24
411.567,6.45,6.81,6.33,6.99,5.66,7,3.91,8.49,6.7,5.29
411.927,6.48,6.81,6.33,7.03,5.67,7.02,3.88,8.5,6.72,5.33
412.288,6.49,6.86,6.31,7.04,5.65,7.02,3.87,8.49,6.7,5.32
412.649,6.67,7.02,6.47,7.25,5.85,7.27,4.1,8.53,6.73,5.36
413.009,6.69,7.03,6.45,7.22,5.84,7.23,4.04,8.53,6.68,5.34
413.37,6.69,7,6.46,7.18,5.82,7.23,4.03,8.5,6.63,5.32
413.731,6.67,7.01,6.46,7.18,5.82,7.25,3.99,8.48,6.66,5.26
414.091,6.72,7.06,6.54,7.23,5.88,7.25,4.03,8.56,6.69,5.29
414.452,6.7,7.04,6.49,7.21,5.84,7.22,3.99,8.52,6.66,5.29
414.812,6.71,7.01,6.46,7.15,5.82,7.21,3.93,8.49,6.6,5.27
415.172,6.7,7.02,6.46,7.12,5.85,7.17,3.97,8.5,6.57,5.28
415.533,6.6,7.02,6.42,7.18,5.78,7.12,3.97,8.49,6.52,5.21
415.893,6.58,7.05,6.45,7.16,5.82,7.14,3.98,8.51,6.51,5.2
416.253,6.6,7.02,6.47,7.16,5.84,7.14,4,8.5,6.51,5.22
416.613,6.46,6.89,6.3,6.93,5.64,6.91,3.77,8.44,6.5,5.15
416.974,6.46,6.89,6.31,6.97,5.65,6.95,3.8,8.45,6.47,5.2
417.334,6.41,6.84,6.22,6.97,5.65,6.92,3.79,8.43,6.46,5.15
417.694,6.44,6.87,6.23,7.02,5.66,6.93,3.84,8.45,6.47,5.15
418.054,6.37,6.81,6.21,7.02,5.6,6.88,3.79,8.36,6.44,5.12
418.414,6.4,6.84,6.26,7.07,5.65,6.87,3.8,8.38,6.46,5.1
418.774,6.4,6.93,6.29,7.14,5.67,6.83,3.84,8.43,6.56,5.15
