wavelength,fac_1,fac_2,fac_3,fac_4,fac_5,fac_6,fac_7,fac_8,fac_9,fac_10
667.072,30.46,25.72,22.53,22.31,22.8,18.9,7.27,11.99,13.73,9.2
667.401,30.32,25.65,22.39,22.26,22.89,18.84,6.94,11.7,13.62,8.95
667.729,30.23,25.58,22.12,22.33,22.81,18.65,6.8,11.6,13.4,9.08
668.058,30.12,25.51,21.94,22.32,22.64,18.62,6.5,11.43,13.25,8.79
668.386,30.15,25.48,21.7,22.23,22.48,18.72,6.35,11.46,13.17,8.63
668.714,30.07,25.43,21.84,22.22,22.36,18.75,6.44,11.49,13.07,8.72
669.042,30.06,25.39,21.81,22.12,22.26,18.96,6.37,11.28,12.91,8.73
669.371,30.02,25.56,21.95,22.06,22.28,19.11,6.48,11.37,12.89,8.9
669.699,30.09,25.68,21.87,22.1,22.37,18.94,6.41,11.24,12.94,8.94
670.027,30.03,25.77,21.85,22.11,22.7,18.68,6.65,11.3,13.11,9.05
670.355,30.07,25.84,21.67,22.31,22.85,18.53,6.57,11.3,13.09,9.25
670.683,30.01,25.69,21.67,22.41,23,18.58,6.55,11.17,12.87,9.42
671.011,30.04,25.61,21.7,22.28,22.88,18.46,6.64,11.2,12.74,9.15
671.339,29.94,25.54,21.75,22.15,22.79,18.42,6.61,11.08,12.7,8.85
671.666,29.99,25.82,22.03,22.07,22.87,18.55,6.92,11.07,12.74,9.08
671.994,30.04,25.8,22.23,22.03,22.83,18.44,7.26,11.05,12.77,9.42
672.322,30.2,26.02,22.17,21.98,22.78,18.37,7.42,10.92,12.72,9.07
672.65,30.27,25.96,22.11,21.92,23.06,18.52,7.53,11.11,12.74,9.18
672.977,30.16,25.92,21.99,21.94,23.06,18.56,7.7,11.14,12.66,9.14
673.305,30.33,26,22.05,21.73,22.88,18.79,7.7,11.17,12.63,9.13
673.633,30.41,25.94,22.39,21.53,22.88,19.15,7.6,11.21,12.42,9.06
673.96,30.47,25.92,22.73,21.48,22.98,19.36,7.78,11.47,12.6,9.08
674.288,30.72,26.21,22.85,21.57,23.1,19.22,7.69,11.53,12.68,9.07
674.615,30.82,26.33,22.88,21.62,23.08,19.32,7.72,11.66,12.93,9.21
