treatment,experiment.day,field.site,species,attacks,field.day
one,4,55,battus,0,12
one,4,56,battus,0,12
one,4,57,battus,0,12
one,4,58,battus,0,12
one,4,59,battus,0,12
one,4,60,battus,0,12
one,4,41,junonia,0,12
one,4,42,junonia,0,12
one,4,43,junonia,0,12
one,4,44,junonia,1,12
one,4,45,junonia,0,12
one,4,46,junonia,1,12
one,4,47,junonia,0,12
one,4,48,junonia,0,12
one,4,49,junonia,0,12
one,4,50,junonia,0,12
one,4,51,junonia,0,12
one,4,52,junonia,0,12
one,4,53,junonia,0,12
one,4,54,junonia,0,12
one,4,55,junonia,0,12
one,4,56,junonia,0,12
one,4,57,junonia,0,12
one,4,58,junonia,0,12
one,4,59,junonia,0,12
one,4,60,junonia,0,12
